Admission Average,Enrichment Program,Universities,Video Interview?,Mode of Delivery (G12),Format,Extracurriculars
3.9 (GPA),AP,College outside Canada,No,Fully in-person,Full year,Club
89,AP,College outside Canada,Yes,Fully in-person,Full year,Club
91,AP,College outside Canada,Yes,Fully in-person,Full year,Club
92,AP,College outside Canada,Yes,Fully in-person,Full year,Club
92,AP,College outside Canada,Yes,Fully in-person,Full year,Club
92,AP,College outside Canada,Yes,Fully in-person,Full year,Club
92.8,AP,College outside Canada,Yes,Fully in-person,Octomesters,Club
93,AP,College outside Canada,Yes,Fully in-person,Octomesters,Club
93,AP,College outside Canada,Yes,Fully in-person,Octomesters,Club
93,AP,University of Guelph,Yes,Fully online,Octomesters,Club
93,AP,University of Guelph,Yes,Fully online,Octomesters,Club
93,AP,McGill University,Yes,Fully online,Quadmesters,Club
93.8,AP,McGill University,Yes,Fully online,Quadmesters,Club
94,AP,McGill University,Yes,Fully online,Quadmesters,Club
94,AP,McGill University,Yes,Fully online,Quadmesters,Club
94,AP,McGill University,Yes,Fully online,Quadmesters,Club
94,AP,McGill University,Yes,Fully online,Quadmesters,Club
94.3,AP,McGill University,Yes,Fully online,Quadmesters,Club
94.5,AP,McGill University,Yes,Fully online,Quadmesters,Club
95,AP,McGill University,Yes,Fully online,Quadmesters,Club
95,AP,McGill University,Yes,Fully online,Quadmesters,Club
95,AP,McGill University,Yes,Fully online,Quadmesters,Club
95,AP,McGill University,Yes,Fully online,Quadmesters,Club
95,AP,McMaster University,Yes,Fully online,Quadmesters,Club
95,AP,McMaster University,Yes,Fully online,Quadmesters,Club
95,AP,McMaster University,Yes,Fully online,Quadmesters,Club
95,AP,McMaster University,Yes,Fully online,Quadmesters,Club
95.3,AP,McMaster University,Yes,Fully online,Quadmesters,Club
95.5,AP,McMaster University,Yes,Hybrid,Quadmesters,Club
95.8,French Immersion,McMaster University,Yes,Hybrid,Quadmesters,Club
96,Gifted,McMaster University,Yes,Hybrid,Quadmesters,Club
96,Gifted,McMaster University,Yes,Hybrid,Quadmesters,Club
96,Gifted,McMaster University,Yes,Hybrid,Quadmesters,Club
96,IB,McMaster University,Yes,Hybrid,Quadmesters,Club
96,IB,McMaster University,Yes,Hybrid,Quadmesters,Club
96,IB,McMaster University,Yes,Hybrid,Quadmesters,Club
96,IB,McMaster University,Yes,Hybrid,Quadmesters,Club
96,IB,McMaster University,Yes,Hybrid,Quadmesters,Club
96,IB,McMaster University,Yes,Hybrid,Quadmesters,Club
96,IB,McMaster University,Yes,Hybrid,Quadmesters,Club
96,IB,McMaster University,Yes,Hybrid,Quadmesters,Club
96.3,IB,McMaster University,Yes,Hybrid,Quadmesters,Club
96.5,IB,McMaster University,Yes,Hybrid,Quadmesters,Club
96.5,IB,McMaster University,Yes,Hybrid,Quadmesters,Club
96.5,IB,McMaster University,Yes,Hybrid,Quadmesters,Club
96.7,IB,McMaster University,Yes,Hybrid,Quadmesters,Club
96.8,IB,McMaster University,Yes,Hybrid,Quadmesters,Club
97,IB,McMaster University,Yes,Hybrid,Quadmesters,Club
97,IB,McMaster University,Yes,Hybrid,Quadmesters,Club
97,IB,McMaster University,Yes,Hybrid,Quadmesters,Club
97,IBT,McMaster University,Yes,Hybrid,Quadmesters,Club
97,IBT,McMaster University,Yes,Hybrid,Quadmesters,Club
97,None,McMaster University,Yes,Hybrid,Quadmesters,Club
97,None,McMaster University,Yes,Hybrid,Quadmesters,Club
97,None,McMaster University,Yes,Hybrid,Quadmesters,Club
97,None,McMaster University,Yes,Hybrid,Quadmesters,Club
97,None,McMaster University,Yes,Hybrid,Quadmesters,Club
97,None,McMaster University,Yes,Hybrid,Quadmesters,Club
97,None,McMaster University,Yes,Hybrid,Quadmesters,Club
97,None,McMaster University,Yes,Hybrid,Quadmesters,Club
97,None,McMaster University,Yes,Hybrid,Quadmesters,Club
97,None,McMaster University,Yes,Hybrid,Quadmesters,Club
97,None,McMaster University,Yes,Hybrid,Semesters,Club
97,None,McMaster University,Yes,Hybrid,Semesters,Club
97,None,McMaster University,Yes,Hybrid,Semesters,Club
97,None,McMaster University,Yes,Hybrid,Semesters,Club
97.3,None,McMaster University,Yes,Hybrid,Semesters,Club
97.3,None,McMaster University,Yes,Hybrid,Semesters,Club
97.3,None,Ottawa/Carleton University,Yes,Hybrid,Semesters,Club
97.3,None,Ottawa/Carleton University,Yes,Hybrid,Semesters,Club
97.5,None,Ottawa/Carleton University,Yes,Hybrid,Semesters,Club
97.6,None,Ottawa/Carleton University,Yes,Hybrid,Semesters,Club Leader
98,None,Ottawa/Carleton University,Yes,Hybrid,Semesters,Club Leader
98,None,Ottawa/Carleton University,Yes,Hybrid,Semesters,Club Leader
98,None,Ottawa/Carleton University,Yes,Hybrid,Semesters,Club Leader
98,None,Ottawa/Carleton University,Yes,Hybrid,Semesters,Club Leader
98,None,Ottawa/Carleton University,Yes,Hybrid,Semesters,Club Leader
98,None,Ottawa/Carleton University,Yes,Hybrid,Semesters,Club Leader
98,None,Ottawa/Carleton University,Yes,Hybrid,Semesters,Club Leader
98,None,Ottawa/Carleton University,Yes,Hybrid,Semesters,Club Leader
98,None,Queen's University,Yes,Hybrid,Semesters,Club Leader
98,None,Queen's University,Yes,Hybrid,Semesters,Club Leader
98,None,Queen's University,Yes,Hybrid,Semesters,Club Leader
98.5,None,Queen's University,Yes,Hybrid,Semesters,Club Leader
98.6,None,Queen's University,Yes,Hybrid,Semesters,Club Leader
99,None,Queen's University,Yes,Hybrid,Semesters,Club Leader
99,None,Queen's University,Yes,Hybrid,Semesters,Club Leader
99.2,None,Queen's University,Yes,Hybrid,Semesters,Club Leader
99.8,None,Queen's University,Yes,Hybrid,Semesters,Club Leader
,None,Queen's University,Yes,Hybrid,Semesters,Club Leader
,Private School,Queen's University,Yes,Hybrid,Semesters,Club Leader
,Private School,Queen's University,,,,Club Leader
,Private School,Queen's University,,,,Club Leader
,Private School,Ryerson University,,,,Club Leader
,Private School,Ryerson University,,,,Club Leader
,Private School,Ryerson University,,,,Club Leader
,Private School,College outside Canada,,,,Club Leader
,Private School,University of British Columbia,,,,Club Leader
,Private School,University of British Columbia,,,,Club Leader
,SHSM,University of British Columbia,,,,Club Leader
,TOPS,University of British Columbia,,,,Club Leader
,Visual Art Program,University of British Columbia,,,,Club Leader
,,University of British Columbia,,,,Club Leader
,,University of British Columbia,,,,Club Leader
,,University of British Columbia,,,,Club Leader
,,University of British Columbia,,,,Club Leader
,,University of British Columbia,,,,Club Leader
,,University of British Columbia,,,,Club Leader
,,University of British Columbia,,,,Club Leader
,,University of British Columbia,,,,Club Leader
,,University of British Columbia,,,,Club Leader
,,University of British Columbia,,,,Club Leader
,,University of British Columbia,,,,Club Leader
,,University of British Columbia,,,,Club Leader
,,University of British Columbia,,,,Club Leader
,,University of British Columbia,,,,Club Leader
,,University of Guelph,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Club Leader
,,University of Toronto,,,,Contests
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Eng Job/Tech Internship
,,University of Toronto,,,,Non-Eng Job
,,University of Toronto,,,,Non-Eng Job
,,University of Toronto,,,,Non-Eng Job
,,University of Toronto,,,,Non-Eng Job
,,University of Toronto,,,,Non-Eng Job
,,University of Toronto,,,,Non-Eng Job
,,University of Toronto,,,,Non-Eng Job
,,University of Toronto,,,,Non-Eng Job
,,University of Toronto,,,,Non-Eng Job
,,University of Toronto,,,,Non-Eng Job
,,University of Toronto,,,,Non-Eng Job
,,University of Toronto,,,,Non-Eng Job
,,University of Toronto,,,,Non-Eng Job
,,University of Toronto,,,,Non-Eng Job
,,University of Toronto,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,Western University,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Non-Eng Job
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Performing/Visual Arts
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,Religious Activity
,,,,,,SHAD
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Sports
,,,,,,Student Council
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience
,,,,,,Volunteer experience